,state,date,21067,21111,total_cnts
474,KY,2020-08-02,0.0,1.0,7.0
414,KY,2020-08-03,1.0,6.0,12.0
563,KY,2020-08-04,0.0,6.0,13.0
313,KY,2020-08-05,1.0,4.0,13.0
128,KY,2020-08-06,0.0,1.0,12.0
314,KY,2020-08-07,1.0,4.0,13.0
415,KY,2020-08-08,0.0,11.0,16.0
633,KY,2020-08-09,1.0,1.0,4.0
634,KY,2020-08-10,4.0,1.0,10.0
598,KY,2020-08-11,0.0,8.0,16.0
511,KY,2020-08-12,1.0,9.0,20.0
599,KY,2020-08-13,1.0,1.0,13.0
251,KY,2020-08-14,1.0,6.0,15.0
0,KY,2020-08-15,1.0,4.0,10.0
564,KY,2020-08-16,0.0,9.0,13.0
568,KY,2020-08-17,0.0,8.0,20.0
512,KY,2020-08-18,0.0,6.0,10.0
569,KY,2020-08-19,1.0,6.0,15.0
416,KY,2020-08-20,1.0,6.0,13.0
570,KY,2020-08-21,1.0,8.0,13.0
635,KY,2020-08-22,1.0,1.0,8.0
565,KY,2020-08-23,0.0,1.0,7.0
552,KY,2020-08-24,1.0,7.0,16.0
571,KY,2020-08-25,0.0,6.0,11.0
315,KY,2020-08-26,1.0,1.0,10.0
566,KY,2020-08-27,1.0,7.0,14.0
1,KY,2020-08-28,4.0,4.0,16.0
417,KY,2020-08-29,1.0,5.0,9.0
513,KY,2020-08-30,0.0,1.0,6.0
514,KY,2020-08-31,1.0,0.0,6.0
252,KY,2020-09-01,0.0,1.0,9.0
675,KY,2020-09-02,0.0,1.0,4.0
583,KY,2020-09-03,1.0,1.0,11.0
515,KY,2020-09-04,1.0,4.0,13.0
636,KY,2020-09-05,1.0,0.0,3.0
637,KY,2020-09-06,1.0,1.0,8.0
70,KY,2020-09-07,1.0,1.0,7.0
499,KY,2020-09-08,0.0,1.0,10.0
418,KY,2020-09-09,1.0,4.0,13.0
572,KY,2020-09-10,1.0,0.0,3.0
584,KY,2020-09-11,1.0,9.0,21.0
401,KY,2020-09-12,1.0,1.0,7.0
638,KY,2020-09-13,1.0,4.0,9.0
516,KY,2020-09-14,1.0,1.0,7.0
585,KY,2020-09-15,1.0,1.0,8.0
316,KY,2020-09-16,1.0,5.0,16.0
626,KY,2020-09-17,0.0,1.0,6.0
253,KY,2020-09-18,0.0,1.0,10.0
627,KY,2020-09-19,1.0,1.0,5.0
517,KY,2020-09-20,0.0,1.0,10.0
518,KY,2020-09-21,1.0,4.0,14.0
687,KY,2020-09-22,0.0,7.0,16.0
419,KY,2020-09-23,1.0,1.0,6.0
556,KY,2020-09-24,0.0,1.0,15.0
2,KY,2020-09-25,1.0,4.0,13.0
573,KY,2020-09-26,1.0,1.0,7.0
600,KY,2020-09-27,1.0,6.0,13.0
71,KY,2020-09-28,1.0,7.0,16.0
317,KY,2020-09-29,1.0,1.0,11.0
72,KY,2020-09-30,1.0,1.0,13.0
420,KY,2020-10-01,1.0,1.0,14.0
475,KY,2020-10-02,1.0,1.0,7.0
73,KY,2020-10-03,0.0,7.0,13.0
318,KY,2020-10-04,1.0,5.0,13.0
519,KY,2020-10-05,1.0,11.0,23.0
3,KY,2020-10-06,0.0,1.0,11.0
421,KY,2020-10-07,1.0,8.0,17.0
254,KY,2020-10-08,0.0,6.0,18.0
422,KY,2020-10-09,0.0,7.0,15.0
74,KY,2020-10-10,1.0,5.0,21.0
476,KY,2020-10-11,1.0,1.0,9.0
4,KY,2020-10-12,5.0,10.0,29.0
423,KY,2020-10-13,1.0,6.0,15.0
5,KY,2020-10-14,1.0,6.0,16.0
477,KY,2020-10-15,1.0,5.0,16.0
424,KY,2020-10-16,1.0,6.0,19.0
639,KY,2020-10-17,1.0,1.0,10.0
425,KY,2020-10-18,1.0,8.0,20.0
6,KY,2020-10-19,4.0,6.0,29.0
478,KY,2020-10-20,1.0,4.0,16.0
426,KY,2020-10-21,1.0,11.0,26.0
479,KY,2020-10-22,1.0,7.0,21.0
